6-levanbiohydrolase,['1-17846.html']
32176,['1-17852.html']
amylopectin,"['1-17830.html', '1-17848.html']"
gm1,['1-17834.html']
beta-mannoside,['1-17835.html']
mannase,['1-17835.html']
organisms,['1-17831.html']
β-galactosidases,['1-17834.html']
groups,['1-17833.html']
cell,['1-17848.html']
classified,['1-17833.html']
exo-beta-13'-xylanase,['1-17849.html']
carbohydrates,['1-17834.html']
16-glucosidase,['1-17830.html']
32133,['1-17830.html']
also,['1-17834.html']
arabinofuranohydrolase,['1-17853.html']
32163,['1-17841.html']
exoenzyme,['1-17848.html']
1-&gt;3-glucanohydrolase,['1-17843.html']
following,['1-17835.html']
infection,['1-17831.html']
galactose,['1-17834.html']
exo-13-beta-xylosidase,['1-17849.html']
pullulan,['1-17848.html']
polysaccharide,['1-17853.html']
13-beta-d-xylosidase,['1-17849.html']
endo-16-beta-glucanase,['1-17851.html']
bacterial,['1-17848.html']
32135,['1-17833.html']
specific,['1-17848.html']
r-enzyme,['1-17848.html']
glycosidase,['1-17833.html']
α-16,['1-17848.html']
exo-hydrolase,['1-17843.html']
4-glucanohydrolase,['1-17844.html']
virus,['1-17831.html']
26-beta-fructan,['1-17846.html']
see,['1-17831.html']
sialidase,['1-17831.html']
products,['1-17833.html']
13-beta-glucan,['1-17843.html']
alpha-l-rhamnoside,['1-17838.html']
cells,['1-17831.html']
systematic,['1-17852.html']
production,['1-17848.html']
16-beta-d-glucan,['1-17851.html']
26-beta-d-fructan,['1-17846.html']
rhamnohydrolase,['1-17838.html']
beta-d-mannosidase,['1-17835.html']
alpha-l-fucosidase,['1-17840.html']
1313,['1-17845.html']
manba,['1-17835.html']
glycoproteins,['1-17834.html']
glycanohydrolase,['1-17840.html']
mutanase,['1-17845.html']
dextrinase,['1-17848.html']
maltotetraohydrolase,['1-17842.html']
attack,['1-17848.html']
14-alpha-d-glucan,"['1-17842.html', '1-17845.html']"
ethanol,['1-17848.html']
configuration-retaining,['1-17850.html']
3-beta-d-glucan,['1-17843.html']
mannohydrolase,['1-17835.html']
32141,['1-17848.html']
functions,['1-17831.html']
32132,['1-17832.html']
found,['1-17831.html']
include,['1-17834.html']
endo-13-beta-xylosidase,['1-17832.html']
32175,['1-17851.html']
glycogen,['1-17830.html']
alpha-arabinofuranosidase,['1-17853.html']
